Diameter,Length,Number,Bend
12,12,3976,0
12,5.405,142,1
12,6,142,1
12,6.82,142,1
12,7.26,142,1
12,8.245,142,1
12,9.49,142,1
12,9.66,142,1
12,11.08,142,1
12,11.265,142,1
12,11.68,142,1
12,11.735,142,1
12,11.79,142,1
12,11.845,142,1
12,11.895,142,1
12,11.95,142,1
12,5.955,426,1
12,7.575,426,1
16,3.885,748,1
12,6.205,426,2
12,7.57,426,2
12,8.935,426,2
12,9.22,1278,2
12,8.87,576,4
12,8.77,1128,4
12,7.14,376,4
12,7.475,376,4
12,7.935,376,4
12,8.27,376,4
12,8.615,376,4
12,7.22,192,4
12,7.54,192,4
12,7.97,192,4
12,8.29,192,4
12,8.73,192,4
16,3.13,284,5
16,4.2,284,5
12,5.915,2640,5
12,6,4700,5
16,2.875,96,5
16,2.94,96,5
16,3.005,96,5
16,3.065,96,5
16,3.19,96,5
16,3.255,96,5
16,3.32,96,5
16,3.38,96,5
16,3.445,96,5
16,3.505,96,5
16,3.57,96,5
16,3.635,96,5
16,3.695,96,5
16,3.76,96,5
16,3.82,96,5
16,3.885,96,5
16,3.95,96,5
16,4.01,96,5
16,4.075,96,5
16,4.135,96,5
16,4.265,96,5
16,4.325,96,5
16,4.39,96,5
16,2.91,188,5
16,2.985,188,5
16,3.055,188,5
16,3.2,188,5
16,3.27,188,5
16,3.34,188,5
16,3.41,188,5
16,3.485,188,5
16,3.555,188,5
16,3.63,188,5
16,3.7,188,5
16,3.77,188,5
16,3.84,188,5
16,3.91,188,5
16,3.985,188,5
16,4.055,188,5
16,4.13,188,5
16,4.27,188,5
16,4.34,188,5
16,4.41,188,5
12,5.495,284,6
12,5.185,96,6
12,5.245,96,6
12,5.31,96,6
12,5.37,96,6
12,5.435,96,6
12,5.85,5264,6
12,5.215,188,6
12,5.285,188,6
12,5.355,188,6
12,5.425,188,6
12,5.545,188,6
12,5.565,188,6
12,5.615,188,6
12,5.685,188,6
12,5.825,188,6
12,5.6,480,6
12,5.755,3308,6
8,1.4,96,0
8,0.7,20340,0
8,3.41,1278,0
12,0.91,288,1
12,0.985,846,1
12,1.235,1410,1
12,2.925,142,1
12,3.245,142,1
12,3.985,142,1
12,1.13,432,1
12,1.15,432,1
12,3.52,576,2
8,3.98,852,2
12,3.415,1128,2
8,0.765,4970,2
12,2.665,376,2
12,2.79,376,2
12,3.04,376,2
12,3.165,376,2
12,3.29,376,2
8,1.13,3976,2
12,3.475,426,2
12,4.84,426,2
12,2.75,192,2
12,2.86,192,2
12,3.08,192,2
12,3.19,192,2
12,3.41,192,2
12,3.145,284,5
12,3.015,96,5
12,3.08,96,5
12,3.205,96,5
12,3.27,96,5
12,3.33,96,5
12,3.395,96,5
12,3.46,96,5
12,3.07,188,5
12,3.215,188,5
12,3.29,188,5
12,3.36,188,5
12,3.43,188,5
12,3.5,188,5
12,3.57,188,5
12,3.645,188,5
12,3.715,188,5
12,3.925,284,6
12,4.215,284,6
12,4.815,284,6
12,3.43,96,6
12,3.49,96,6
12,3.555,96,6
12,3.615,96,6
12,3.675,96,6
12,3.74,96,6
12,3.8,96,6
12,3.86,96,6
12,3.985,96,6
12,4.05,96,6
12,4.11,96,6
12,4.155,96,6
12,4.175,96,6
12,4.275,96,6
12,4.34,96,6
12,4.4,96,6
12,4.46,96,6
12,4.525,96,6
12,4.585,96,6
12,4.65,96,6
12,4.71,96,6
12,4.755,96,6
12,4.77,96,6
12,4.875,96,6
12,4.94,96,6
12,5,96,6
12,5.06,96,6
12,5.125,96,6
12,3.715,188,6
12,3.785,188,6
12,3.855,188,6
12,4,188,6
12,4.07,188,6
12,4.14,188,6
12,4.285,188,6
12,4.325,188,6
12,4.355,188,6
12,4.395,188,6
12,4.465,188,6
12,4.535,188,6
12,4.605,188,6
12,4.675,188,6
12,4.745,188,6
12,4.89,188,6
12,4.935,188,6
12,4.96,188,6
12,5.005,188,6
12,5.075,188,6
12,5.145,188,6
8,11.39,12,18
8,11.78,12,18
8,6.18,2520,18
32,7.91,771,0
32,9.105,771,0
32,7.93,1334,0
32,9.125,1334,0
32,6,2105,0
32,3.3,2627,0
32,12,4210,0
32,8.935,771,1
32,8.955,1334,1
25,4.385,11888,2
20,8.555,5162,6
20,7.335,48,6
20,7.385,48,6
20,7.43,48,6
20,7.48,48,6
20,7.53,48,6
20,7.575,48,6
20,7.67,48,6
20,7.72,48,6
20,7.765,48,6
20,7.815,48,6
20,7.865,48,6
20,7.915,48,6
20,7.96,48,6
20,8.055,48,6
20,8.105,48,6
20,8.155,48,6
20,8.2,48,6
20,8.25,48,6
20,8.295,48,6
20,8.345,48,6
20,8.395,48,6
20,8.49,48,6
20,8.535,48,6
20,7.295,94,6
20,7.35,94,6
20,7.405,94,6
20,7.46,94,6
20,7.515,94,6
20,7.57,94,6
20,7.68,94,6
20,7.735,94,6
20,7.785,94,6
20,7.84,94,6
20,7.895,94,6
20,7.95,94,6
20,8.06,94,6
20,8.115,94,6
20,8.17,94,6
20,8.225,94,6
20,8.28,94,6
20,8.33,94,6
20,8.385,94,6
20,8.495,94,6
20,7.625,142,6
20,8.005,142,6
20,8.44,142,6
16,10.485,1539,2
16,12,1539,2
16,5.27,284,5
16,5.84,284,5
16,6.08,564,5
16,4.45,96,5
16,4.515,96,5
16,4.58,96,5
16,4.64,96,5
16,4.705,96,5
16,4.765,96,5
16,4.83,96,5
16,4.895,96,5
16,4.955,96,5
16,5.02,96,5
16,5.08,96,5
16,5.145,96,5
16,5.21,96,5
16,5.335,96,5
16,5.395,96,5
16,5.46,96,5
16,5.525,96,5
16,5.585,96,5
16,5.65,96,5
16,5.71,96,5
16,5.775,96,5
16,5.9,96,5
16,5.965,96,5
16,4.685,384,1
16,4.485,188,5
16,4.555,188,5
16,4.63,188,5
16,4.7,188,5
16,4.77,188,5
16,4.84,188,5
16,4.91,188,5
16,4.985,188,5
16,5.055,188,5
16,5.13,188,5
16,5.2,188,5
16,5.34,188,5
16,5.41,188,5
16,5.485,188,5
16,5.555,188,5
16,5.63,188,5
16,5.7,188,5
16,5.77,188,5
16,5.915,188,5
16,5.985,188,5
16,6.055,188,5
16,5.995,480,5
20,6.095,2,4
20,6.17,2,4
20,6.24,2,4
20,6.09,48,4
20,6.155,48,4
20,6.215,48,4
20,6.235,48,6
20,6.28,48,6
20,6.33,48,6
20,6.375,48,6
20,6.475,48,6
20,6.52,48,6
20,6.57,48,6
20,6.615,48,6
20,6.665,48,6
20,6.71,48,6
20,6.76,48,6
20,6.81,48,6
20,6.855,48,6
20,6.905,48,6
20,6.95,48,6
20,7,48,6
20,7.05,48,6
20,7.095,48,6
20,7.145,48,6
20,7.19,48,6
20,7.29,48,6
20,6.095,92,6
20,6.17,92,6
20,6.24,92,6
20,6.26,94,6
20,6.315,94,6
20,6.37,94,6
20,6.48,94,6
20,6.535,94,6
20,6.59,94,6
20,6.64,94,6
20,6.695,94,6
20,6.75,94,6
20,6.805,94,6
20,6.86,94,6
20,6.915,94,6
20,6.97,94,6
20,7.025,94,6
20,7.08,94,6
20,7.135,94,6
20,7.185,94,6
20,6.425,142,6
20,7.24,142,6
